Experiment: 20131113 C22 id1 pai1 smad7 atp50  Selected Filter: SYBR Green I (483-533)
Include	Color	Pos	Name	Cp	Concentration	Standard	Status
True	255	A1	Sample 1	23.83		0	
True	255	A2	Sample 2	23.80		0	
True	255	A3	Sample 3	23.83		0	
True	255	A4	Sample 4	21.67		0	
True	255	A5	Sample 5	21.68		0	
True	255	A6	Sample 6	21.65		0	
True	255	A7	Sample 7	25.67		0	
True	255	A8	Sample 8	25.63		0	
True	255	A9	Sample 9	25.68		0	
True	255	A10	Sample 10	20.52		0	
True	255	A11	Sample 11	20.32		0	
True	255	A12	Sample 12	20.34		0	
True	255	B1	Sample 13	24.50		0	
True	255	B2	Sample 14	24.53		0	
True	255	B3	Sample 15	24.50		0	
True	255	B4	Sample 16	21.28		0	
True	255	B5	Sample 17	21.27		0	
True	255	B6	Sample 18	21.27		0	
True	255	B7	Sample 19	25.99		0	
True	255	B8	Sample 20	26.01		0	
True	255	B9	Sample 21	26.00		0	
True	255	B10	Sample 22	20.97		0	
True	255	B11	Sample 23	20.92		0	
True	255	B12	Sample 24	20.98		0	
True	255	C1	Sample 25	24.67		0	
True	255	C2	Sample 26	24.62		0	
True	255	C3	Sample 27	24.59		0	
True	255	C4	Sample 28	19.47		0	
True	255	C5	Sample 29	19.49		0	
True	255	C6	Sample 30	19.45		0	
True	255	C7	Sample 31	23.82		0	
True	255	C8	Sample 32	23.81		0	
True	255	C9	Sample 33	23.84		0	
True	255	C10	Sample 34	20.58		0	
True	255	C11	Sample 35	20.55		0	
True	255	C12	Sample 36	20.53		0	
True	255	D1	Sample 37	24.50		0	
True	255	D2	Sample 38	24.46		0	
True	255	D3	Sample 39	24.29		0	
True	255	D4	Sample 40	19.19		0	
True	255	D5	Sample 41	19.14		0	
True	255	D6	Sample 42	19.13		0	
True	255	D7	Sample 43	23.83		0	
True	255	D8	Sample 44	23.84		0	
True	255	D9	Sample 45	23.89		0	
True	255	D10	Sample 46	20.77		0	
True	255	D11	Sample 47	20.76		0	
True	255	D12	Sample 48	20.76		0	
True	255	E1	Sample 49	25.85		0	
True	255	E2	Sample 50	25.77		0	
True	255	E3	Sample 51	25.80		0	
True	255	E4	Sample 52	19.65		0	
True	255	E5	Sample 53	19.65		0	
True	255	E6	Sample 54	19.64		0	
True	255	E7	Sample 55	24.42		0	
True	255	E8	Sample 56	24.31		0	
True	255	E9	Sample 57	24.45		0	
True	255	E10	Sample 58	20.43		0	
True	255	E11	Sample 59	20.33		0	
True	255	E12	Sample 60	20.32		0	
True	255	F1	Sample 61	25.02		0	
True	255	F2	Sample 62	25.02		0	
True	255	F3	Sample 63	25.03		0	
True	255	F4	Sample 64	19.05		0	
True	255	F5	Sample 65	19.05		0	
True	255	F6	Sample 66	19.05		0	
True	255	F7	Sample 67	24.33		0	
True	255	F8	Sample 68	24.33		0	
True	255	F9	Sample 69	24.43		0	
True	255	F10	Sample 70	20.82		0	
True	255	F11	Sample 71	20.80		0	
True	255	F12	Sample 72	20.79		0	
True	65280	G1	Sample 73			0	
True	255	G2	Sample 74	40.00		0	> - Late Cp call (last five cycles) has higher uncertainty
True	255	G3	Sample 75	40.00		0	> - Late Cp call (last five cycles) has higher uncertainty
True	65280	G4	Sample 76			0	
True	65280	G5	Sample 77			0	
True	65280	G6	Sample 78			0	
True	65280	G7	Sample 79			0	
True	65280	G8	Sample 80			0	
True	65280	G9	Sample 81			0	
True	255	G10	Sample 82	36.57		0	
True	255	G11	Sample 83	40.00		0	> - Late Cp call (last five cycles) has higher uncertainty
True	255	G12	Sample 84	37.29		0	
True	65280	H1	Sample 85			0	
True	65280	H2	Sample 86			0	
True	65280	H3	Sample 87			0	
True	65280	H4	Sample 88			0	
True	65280	H5	Sample 89			0	
True	65280	H6	Sample 90			0	
True	65280	H7	Sample 91			0	
True	65280	H8	Sample 92			0	
True	65280	H9	Sample 93			0	
True	65280	H10	Sample 94			0	
True	65280	H11	Sample 95			0	
True	65280	H12	Sample 96			0	
